Fs,50.00
Initialization time,60
mx,my,mz
6267,1025,3085
6212,925,3150
6267,955,3070
6207,950,3107
6192,960,3117
6307,1005,3027
6272,925,3137
6237,950,3175
6202,975,3192
6157,960,3197
6182,970,3145
6232,930,3137
6222,1005,3022
6197,980,3165
6242,1070,3197
6132,1005,3127
6197,890,3192
6247,945,3165
6292,960,3080
6207,945,3122
6187,905,3160
6247,1005,3160
6257,885,3127
6172,980,3010
6242,945,3187
6332,915,3187
6167,940,3080
6257,865,3052
6192,950,3150
6232,965,3075
6392,905,3032
6112,1000,3095
6187,995,3095
6262,955,3090
6102,852,3102
6212,895,3150
6197,965,3122
6112,925,3122
6237,960,3042
6267,970,3170
6217,985,3112
6137,960,3075
6282,975,3202
6262,940,3150
6192,990,3197
6147,995,3137
6112,910,3010
6187,1097,3107
6167,857,3155
6322,802,3090
6202,970,3170
6127,935,3095
6162,1030,3150
6177,975,3037
6212,965,3145
6157,925,3065
6227,905,3150
6222,950,3112
6127,1065,3112
6247,1015,3090
6232,935,3187
6182,925,3155
6247,895,3150
6197,880,3155
6217,955,3207
6292,970,3000
6212,1000,3132
6217,847,3032
6267,995,3112
6177,1005,3207
6157,1010,3217
6327,935,3272
6232,935,3047
6257,925,3192
6157,857,3132
6167,945,3122
6227,975,3112
6247,940,3132
6187,990,3160
6227,1005,3160
6267,1102,3095
6222,965,3222
6252,1035,3127
6312,837,3070
6217,905,3095
6282,1000,3102
6202,970,3042
6262,1087,3122
6247,915,3075
6147,985,3165
6232,1005,3212
6302,1025,3137
6192,920,3160
6182,945,3132
6217,1030,3117
6187,945,3217
6277,1092,3155
6242,1015,3017
6247,870,3277
6232,920,3102
6172,990,3145
6217,960,3150
6262,940,3085
6257,875,3102
6082,995,3122
6157,885,3095
6222,940,3160
6082,1000,3070
6227,885,2980
6197,915,3175
6267,1005,2990
6197,920,3037
6202,915,3085
6202,985,3112
6277,950,3080
6222,1005,3187
6157,985,3287
6212,975,3197
6217,930,3175
6157,925,3222
6207,975,3155
6277,935,3112
6222,950,3160
6247,880,3095
6222,935,3085
6167,1097,3117
6207,975,3080
6197,915,3212
6182,945,3137
6207,1035,3160
6212,1005,3155
6187,965,3145
6297,1000,3197
6192,915,3090
6222,960,3107
6142,940,3102
6162,990,3165
6272,857,3277
6177,1015,3080
6222,955,3085
6237,980,3065
6137,1005,3095
6242,955,3085
6197,920,3112
6247,990,3070
6202,990,3085
6277,980,3250
6232,1015,3160
6277,1000,3137
6202,940,3032
6262,995,3265
6227,920,3095
6212,895,3180
6187,915,3175
6322,915,3175
6157,940,3145
6242,920,3170
6257,965,3127
6357,955,3165
6272,1000,3145
6192,925,3145
6212,985,3235
6242,1065,3197
6217,890,3132
6192,945,3217
6222,1030,3127
6217,880,3187
6157,1070,3175
6252,1060,3207
6172,1020,3052
6307,915,3085
6257,910,3180
6247,870,3187
6192,995,3102
6247,975,3085
6162,945,3102
6242,930,3137
6267,975,3192
6317,1000,3122
6162,915,3060
6252,1060,3127
6257,975,3107
6262,1020,3180
6217,1060,3032
6262,880,3132
6207,885,3165
6182,1015,3112
6227,865,3112
6252,802,3085
6297,1005,3145
6257,1040,3112
6302,980,3245
6312,885,3107
6262,940,3192
6217,950,3060
6217,980,3010
6217,955,3117
6242,910,3085
6177,1055,3160
6347,935,3160
6297,945,3137
6257,1005,3085
6257,1030,3117
6172,842,3137
6242,920,3095
6262,930,3240
6267,1025,3075
6262,995,3160
6157,1005,3180
6197,865,3137
6197,1020,3042
6202,990,3175
6232,985,3160
6232,970,3080
6307,930,3047
6287,955,3180
6352,847,3070
6217,1010,3122
6192,1060,3165
6292,935,3037
6197,955,3230
6192,1000,3095
6197,890,3090
6197,895,3085
6157,1010,3165
6167,905,3160
6222,965,3122
6092,905,3155
6232,1015,3075
6147,1040,3165
6257,920,3027
6182,920,3132
6287,905,3217
6252,945,3217
6187,975,3090
6287,847,3222
6172,970,3245
6212,1045,3042
6227,945,3222
6112,875,3127
6127,930,3065
6192,1050,3075
6202,945,3117
6047,935,3222
6182,1107,3150
6157,950,3187
6247,945,3075
6287,985,3137
6317,940,3192
6182,960,3127
6207,1025,3187
6232,910,3127
6127,975,3145
6202,995,3060
6172,930,3122
6197,940,3175
6162,1005,3052
6277,915,3122
6292,900,3085
6122,910,3095
6257,1045,3187
6167,940,3132
6197,900,3080
6262,1000,3075
6197,905,3090
6177,920,3080
6237,1000,3122
6192,910,3297
6152,1015,3022
6252,865,3090
6307,1025,3102
